incident nummer,Incident categorie,Beschrijving incident
1248267,Telefonie / Communicatie,Spoed__afdeling niet bereikbaar
1248271,2e lijns (Doorgezette incidenten),token nummer nakijken
1248273,2e lijns (Doorgezette incidenten),Windows
1248274,2e lijns (Doorgezette incidenten),Outlook mist extra mailbox en pst.
1248275,2e lijns (Doorgezette incidenten),Computer gooit de gebruiker er drie keer uit voordat zij kan inloggen
1248279,2e lijns (Doorgezette incidenten),safewordcode
1248282,2e lijns (Doorgezette incidenten),dv GL
1248285,2e lijns (Doorgezette incidenten),Synergy vraagt om terug te bellen.
1248286,2e lijns (Doorgezette incidenten),dv DH
1248288,Hardware / Werkplekbeheer,MF storing: Paneel open: Onderste rechterpaneel
1248290,2e lijns (Doorgezette incidenten),CS/CRM-ERP: blijft soms hangen in CRM-ERP
1248291,Hardware / Werkplekbeheer,MF__ papier dikte moet ingesteld worden voor polsbandjes papier.
1248294,2e lijns (Doorgezette incidenten),MF staat standaard op PDF ipv Ricoh
1248295,2e lijns (Doorgezette incidenten),CS PDSM traagheid
1248297,2e lijns (Doorgezette incidenten),Doorverbonden met W. Grooten
1248298,Hardware / Werkplekbeheer,Laptop: Cable not connected. Geen beeld.
1248300,2e lijns (Doorgezette incidenten),Heeft om 13:00 een afspraak met manager
1248301,2e lijns (Doorgezette incidenten),Outlook2003__ email sorteren
1248302,Hardware / Werkplekbeheer,MF. Oud faxapparaat. Vraagt of iemand de glasplaat schoon kan komen maken.
1248303,2e lijns (Doorgezette incidenten),Postvak verdwenen
1248304,2e lijns (Doorgezette incidenten),Traagheid CRM-ERP
1248305,2e lijns (Doorgezette incidenten),MF__pas graag registreren
1248307,2e lijns (Doorgezette incidenten),Downloaden lukt niet met IE7
1248309,2e lijns (Doorgezette incidenten),pas activering
1248310,Hardware / Werkplekbeheer,MF pas koppelen
1248312,2e lijns (Doorgezette incidenten),pas activeren
1248313,Telefonie / Communicatie,Telefoon is lang niet bereikbaar geweest
1248314,2e lijns (Doorgezette incidenten),Doorverbonden met J. ten Tusscher
1248315,2e lijns (Doorgezette incidenten),dv RK
1248320,2e lijns (Doorgezette incidenten),Dv met Robert Dekkers.
1248322,2e lijns (Doorgezette incidenten),Weet niet meer hoe een nieuwe map aan te maken op H:
1248323,2e lijns (Doorgezette incidenten),Welke versie van Word gebruikt mevrouw?
1248329,2e lijns (Doorgezette incidenten),MF__ WSpas registreren
1248333,2e lijns (Doorgezette incidenten),Kan vanaf programma open-lab niet printen naar pp49988
1248337,2e lijns (Doorgezette incidenten),Dv Daniel Pierik.
1248339,2e lijns (Doorgezette incidenten),Vraagt om info over printen in kleur
1248340,2e lijns (Doorgezette incidenten),Account geblControlekamerkeerd.
1248341,2e lijns (Doorgezette incidenten),dv JR
1248343,2e lijns (Doorgezette incidenten),MF__faxen komen niet binnen
1248345,Hardware / Werkplekbeheer,Bel service PM oproep en geeft vieze strepen op A4 papier
1248346,2e lijns (Doorgezette incidenten),heeft geen printers bonnr 01248254
1248347,2e lijns (Doorgezette incidenten),Outlook: kan mails niet markeren
1248348,2e lijns (Doorgezette incidenten),MF__graag pas nieuwe collega registreren
1248350,2e lijns (Doorgezette incidenten),Thin Client piep geluid 071--> Windows Register Setting - No Sounds Scheme uitgevoerd
1248351,2e lijns (Doorgezette incidenten),CS/CRM-ERP: doorverbonden met functioneel beheer CRM-ERP
1248353,Hardware / Werkplekbeheer,Audio meter geeft de melding: Failed H7
1248354,2e lijns (Doorgezette incidenten),CS/CRM-ERP: doorverbonden met functioneel beheer CRM-ERP
1248357,2e lijns (Doorgezette incidenten),MF__faxen naar Borculo komen niet over
1248361,2e lijns (Doorgezette incidenten),geen printers
1248362,Hardware / Werkplekbeheer,Windows cannot connect to domain
1248365,2e lijns (Doorgezette incidenten),token aangevraagd. Vraagt of het token al klaarligt.
1248368,Hardware / Werkplekbeheer,Nieuwe KA springt uit na 5 minuten. Svp tijd verhogen naar een half uur
1248369,2e lijns (Doorgezette incidenten),wire solutions__graag pakket veranderen
1248372,2e lijns (Doorgezette incidenten),Doorverbonden met R. Dekkers
1248373,2e lijns (Doorgezette incidenten),Word hangt
1248376,2e lijns (Doorgezette incidenten),CSCRM-ERP resolutie
1248377,Hardware / Werkplekbeheer,TC gaat steeds uit zichzelf uit
1248381,2e lijns (Doorgezette incidenten),wire solutions Geen duitse zender beschikbaar
1248382,2e lijns (Doorgezette incidenten),continu piepje: 071--> Windows Register Setting -> No Sounds Scheme
1248384,2e lijns (Doorgezette incidenten),USB stick werkt niet op tc48082 ondanks dat de tc is afgesloten en opnieuw gestart met usb stick
1248385,2e lijns (Doorgezette incidenten),Nieuwe KA TC kan geen USB benaderen
1248386,2e lijns (Doorgezette incidenten),DELL nav aanvraag van dhr. Dieckman
1248389,2e lijns (Doorgezette incidenten),IE out of date
1248390,2e lijns (Doorgezette incidenten),problemen met starten applicaties
1248396,2e lijns (Doorgezette incidenten),Vastloper Outlook + verzoek mailbox te vergroten
1248401,2e lijns (Doorgezette incidenten),Wil de beschikking hebben over applicatie Muse op een TC
1248408,2e lijns (Doorgezette incidenten),Bestanden plaatsen op de J: schijf
1248418,2e lijns (Doorgezette incidenten),Doorverbonden met R. Kamphuis
1248421,2e lijns (Doorgezette incidenten),mabraak blijft steken op de RES Workspace Manager (tijdens laden)
1248424,2e lijns (Doorgezette incidenten),Doorverbonden met R. Huuskes
1248426,Functioneel beheer,rechten dkatgert en tvd werf
1248428,2e lijns (Doorgezette incidenten),wire solutions afmelden pakket
1248439,Hardware / Werkplekbeheer,Defecte muis
1248442,Functioneel beheer,Traag CRM-ERP op WS314444 en Xenapa17-04
1248444,2e lijns (Doorgezette incidenten),dv Carel Muller
1248446,2e lijns (Doorgezette incidenten),domeindomein installatie wie weet daar wat van?
1248451,2e lijns (Doorgezette incidenten),CS vraag.
1248460,Telefonie / Communicatie,"Als een interne beller overgenomen wordt door een collega, krijgt deze een heel ander persoon aan de lijn."
1248463,Hardware / Werkplekbeheer,"VGA kabel is niet aangesloten / mist, error op scherm"
1248464,Functioneel beheer,Foutmelding in e-verwijzen
1248465,2e lijns (Doorgezette incidenten),Onderstaande groepen hebben geen rechten meer op de map: X:\UltimoData\servicecontracten
1248466,Functioneel beheer,uitvoerders wisselen P10
1248469,Functioneel beheer,codes BB
1248470,2e lijns (Doorgezette incidenten),kan niet meer inloggen
1248472,2e lijns (Doorgezette incidenten),"Aanvraag nieuwe map op J-schijf: ""2015 en verder"" Zie autorisatieformulier"
1248473,2e lijns (Doorgezette incidenten),Dv met Ronald Huiskes. Gaat over Open Lab
1248474,Functioneel beheer,EEG
1248475,3e lijns (Technische incidenten), scannen naar Dossier  klant (Cs/EPD)
1248476,2e lijns (Doorgezette incidenten),safewordcode
1248480,2e lijns (Doorgezette incidenten),CS klant in E-verwijzen dv 5119
1248481,2e lijns (Doorgezette incidenten),WS Connect: Niets te horen
1248482,2e lijns (Doorgezette incidenten),dv RK
1248483,2e lijns (Doorgezette incidenten),Piepende TC
1248485,2e lijns (Doorgezette incidenten),tokencode
1248486,Functioneel beheer,CS: Traagheid op dermatologie
1248491,2e lijns (Doorgezette incidenten),Ricoh MF niet beschikbaar op de H15-01
1248496,Telefonie / Communicatie,Dienstelefoon doet het niet meer
1248497,2e lijns (Doorgezette incidenten),Doorverbonden met R. Stoter
1248498,2e lijns (Doorgezette incidenten),token code
1248499,2e lijns (Doorgezette incidenten),Dv René Zengerink. Computerruimte MER. Waterdetectie
1248502,2e lijns (Doorgezette incidenten),Outlook__rapportage foutmelding tijdens versturen standaard e-mail
1248504,2e lijns (Doorgezette incidenten),Kan niet printen naar de Aficio MP op pasalm-z01
1248505,Functioneel beheer,Aanpassen opname ivm foutieve gegevens
1248506,2e lijns (Doorgezette incidenten),Graag Postvak vergroten
1248507,Hardware / Werkplekbeheer,afdrukken gaat niet goed vanuit Word
1248509,2e lijns (Doorgezette incidenten),Koppeling G2 werkt niet
1248510,2e lijns (Doorgezette incidenten),Nieuwe KA__ snp overzichten. Mist de Snapshot Viewer
1248512,2e lijns (Doorgezette incidenten),eMadows FAC of Billing. Van WS Connect loopt de batch queue niet van.
1248519,2e lijns (Doorgezette incidenten),CS gegevens invoeren dv 5119
1248522,2e lijns (Doorgezette incidenten),dv Carel Muller
1248523,2e lijns (Doorgezette incidenten),wire solutions: patiënt wil naar buiten bellen
1248524,2e lijns (Doorgezette incidenten),link site instellingen aanpassen onder internetopties
1248525,2e lijns (Doorgezette incidenten),Wil graag een centraal account aanvragen voor een vaste werkplek
1248527,Hardware / Werkplekbeheer,Scanner geeft na elke scan een lege pagina. Kan dit anders ingesteld worden? Ruimte K123
1248540,2e lijns (Doorgezette incidenten),procesprinter rechten toekennen
1248545,Telefonie / Communicatie,Lader handset werkt niet meer
1248546,Hardware / Werkplekbeheer,WS Connect: Toetsenbord werkt niet op USB
1248548,2e lijns (Doorgezette incidenten),Graag Postvak vergroten
1248550,2e lijns (Doorgezette incidenten),Map terugzetten
1248552,Functioneel beheer,Selectielijst Hardware wijzigen
1248555,Functioneel beheer,ULTIMO: Rechten Andre Rupert aanpassen
1248556,Hardware / Werkplekbeheer,Beeldscherm moet omgewisseld worden van ruimte M12 met ruimte G16
1248558,Hardware / Werkplekbeheer,Laptop wil niet meer aan
1248559,2e lijns (Doorgezette incidenten),token aanvraag Everlien Gasman
1248563,2e lijns (Doorgezette incidenten),CS/CRM-ERP: doorverbonden met functioneel beheer CRM-ERP
1248564,2e lijns (Doorgezette incidenten),kan niet normaal afsluiten
1248571,2e lijns (Doorgezette incidenten),Resolutie staat niet goed
1248572,2e lijns (Doorgezette incidenten),Nieuwe kaakchirurg kan niet inloggen
1248575,2e lijns (Doorgezette incidenten),Bij printer kiezen krijgt hij melding: List index out of bounds
1248576,2e lijns (Doorgezette incidenten),CS/CRM-ERP: Virtualization error: osd bestand is nieuwer dan bestand in cache
1248577,2e lijns (Doorgezette incidenten),kan niet inloggen: there currently no logon servers available
1248723,2e lijns (Doorgezette incidenten),MF__pas kwijtgeraakt
1248725,2e lijns (Doorgezette incidenten),Dv met Dennis Havekes
1248726,2e lijns (Doorgezette incidenten),MF__moet steeds handmatig Paper A4 kiezen bij afdrukken lijsten
1248729,2e lijns (Doorgezette incidenten),vraagt om info betreft aanvraag handset en vast toestel tbv katrien van Groningen
1248730,2e lijns (Doorgezette incidenten),ww vergeten
1248731,Functioneel beheer,CS Opname: Aanpassen opname type
1248735,2e lijns (Doorgezette incidenten),Telewerken lukt niet terwijl inloggen via webmail wel goed gaat
1248737,2e lijns (Doorgezette incidenten),dv JTT
1248739,2e lijns (Doorgezette incidenten),Het scannen is heel traag.  Duurt lang voordat hij in CRM-ERP staat. Ongeveer 15 min.
1248740,2e lijns (Doorgezette incidenten),Doorverbonden met J. Roelofs
1248745,2e lijns (Doorgezette incidenten),Fa. Infoland
1248746,2e lijns (Doorgezette incidenten),dv JTT
1248747,Hardware / Werkplekbeheer,Omwisselen van 1 groot scherm naar andere werkplek. Scherm van computer 47845 naar de computer 49132
1248754,2e lijns (Doorgezette incidenten),"Heeft losse laders op de afdeling, wil graag een laadstation"
1248757,2e lijns (Doorgezette incidenten),Doorverbonden met B. Veldhuissen
1248760,2e lijns (Doorgezette incidenten),Heefft geen printers.
1248764,2e lijns (Doorgezette incidenten),Vraagt naar F. Wijngaard
1248765,2e lijns (Doorgezette incidenten),dv IS
1248770,2e lijns (Doorgezette incidenten),safewordcode
1248772,2e lijns (Doorgezette incidenten),Mist haar pst in de nieuwe KA
1248776,2e lijns (Doorgezette incidenten),Nieuwe KA omgeving ziet shut down button niet meer staan in menu
1248777,2e lijns (Doorgezette incidenten),Kan niet inloggen: policy verhindert aanmelden
1248781,2e lijns (Doorgezette incidenten),"MF__kan niet kopieëren, wel printen"
1248782,2e lijns (Doorgezette incidenten),Bij scannen naar CRM-ERP komt het voor dat de scan maar half in CRM-ERP komt
1248787,Hardware / Werkplekbeheer,Laptop tb probleem
1248791,2e lijns (Doorgezette incidenten),Diamant: Applicatie wordt al uitgevoerd in het systeemvak en kan niet nogmaals worden opgestart
1248800,2e lijns (Doorgezette incidenten),Nieuwe KA__inlogproblemen
1248802,2e lijns (Doorgezette incidenten),"Monaco pip start niet, error code -0000E005, XENAPPH6-02"
1248804,2e lijns (Doorgezette incidenten),Schermresolutie is aangepast maar Internet Explorer is niet meer schermvullend
1248806,2e lijns (Doorgezette incidenten),Dv met Jeffrey
1248809,2e lijns (Doorgezette incidenten),Dv met Daniel Pierik
1248810,2e lijns (Doorgezette incidenten),Fin-ERP: Probleem met telewerken
1248811,2e lijns (Doorgezette incidenten),Dv met Geert Rouw
1248813,2e lijns (Doorgezette incidenten),MF__nieuwe pas registreren
1248815,2e lijns (Doorgezette incidenten),Kan niet inloggen met pas na verwijderen van server uit farm.
1248816,2e lijns (Doorgezette incidenten),PAM activeren nieuwe pas
1248818,2e lijns (Doorgezette incidenten),Laptop kan geen verbinding maken met WS Public
1248819,2e lijns (Doorgezette incidenten),Dr Wouters kan niet inloggen. Zwart scherm
1248821,2e lijns (Doorgezette incidenten),WS Private vraagt om met ww in te loggen
1248822,2e lijns (Doorgezette incidenten),token. Na inloggen krijgt zij geen WS Desktop.
1248823,2e lijns (Doorgezette incidenten),Server error 401 invalid credentials
1248826,2e lijns (Doorgezette incidenten),Kan USB-stick niet lezen
1248828,2e lijns (Doorgezette incidenten),Powerpoint: probleem met gebruik avi-filmpjes in powerpoint presentatie.
1248829,2e lijns (Doorgezette incidenten),Hij wordt verhuisd vandaag naar andere plek. Vraagt hoe dit gaat.
1248830,2e lijns (Doorgezette incidenten),Terugbelverzoek
1248833,Functioneel beheer,Opnamebrief OCON aanpassingen ivm nuchterbeleid
1248834,2e lijns (Doorgezette incidenten),Outlook vraag over automatische handtekening en
1248836,Hardware / Werkplekbeheer,"CD/DVD-ROM drive ligt er los bij, waarschijnlijk is de PC een keer omgevallen"
1248837,2e lijns (Doorgezette incidenten),Youtube filmlijst. Wil hier een url van hebben.
1248839,2e lijns (Doorgezette incidenten),"verzoek tot wijzigen van wachtwoord, pascontrole gevraagd ter controle"
1248841,Functioneel beheer,CS Werkblad Secretaresse: dbc niet vooraf gevuld
1248842,2e lijns (Doorgezette incidenten),Heeft Word bestand weggeklikt. Nog geen 1 x opgeslaan.
1248844,2e lijns (Doorgezette incidenten),Diamant starten gaat niet goed (kan niet voor de 2e keer gestart worden)
1248848,Functioneel beheer,CS 3x foutieve e-verwijzen
1248851,Functioneel beheer,blauw sscherm na inloggen onder accept account onder windows XP
1248853,2e lijns (Doorgezette incidenten),Monaco PIP__kan pincode niet invoeren
1248855,Hardware / Werkplekbeheer,Nieuwe KA__the trust relationship between this workstation and the primairy domain failed
1248859,2e lijns (Doorgezette incidenten),Pas activeren voor gebruiker imekenkamp
1248860,Hardware / Werkplekbeheer,"KA: hier staat nog een oude tc, svp vervanging, Dit is vergeten met de uitrol van nieuwe KA uitrol IC afdeling"
1248866,2e lijns (Doorgezette incidenten),dv JTT
1248872,Functioneel beheer,CS Gescande documenten: document bij verkeerde patiënt gescand.
1248875,2e lijns (Doorgezette incidenten),"WS met XP, inloggen CS test account gaatt niet goed"
1248877,2e lijns (Doorgezette incidenten),"MF is gisteren geconfigureerd voor gebruik polsbandjes, maar dit gaat nog niet goed."
1248878,2e lijns (Doorgezette incidenten),dv Mirjam Heerdink
1248883,Hardware / Werkplekbeheer,Polsbandjes worden nog niet goed geprint. Afdruk komt niet op de juiste plek.
1248884,Hardware / Werkplekbeheer,Error: Plts in lade 1
1248889,2e lijns (Doorgezette incidenten),CS/CRM-ERP: doorverbonden met functioneel beheer CRM-ERP
1248890,2e lijns (Doorgezette incidenten),dv JTT
1248891,Functioneel beheer,handleiding grafische agenda overzicht
1248892,2e lijns (Doorgezette incidenten),Svp Jive-X server herstarten
1248893,Functioneel beheer,E-verwijzen klant had geen klantnummer nu wel document staat op Open
1248894,2e lijns (Doorgezette incidenten),safewordcode
1248895,2e lijns (Doorgezette incidenten),Geen printers beschikbaar op XenappA8-04
1248898,2e lijns (Doorgezette incidenten),Pasje nog niet gekoppeld. Mist nog icoontje van Kwaliteitsportaal.
1248900,2e lijns (Doorgezette incidenten),Kan USB-stick niet gebruiken
1248902,2e lijns (Doorgezette incidenten),safewordcode
1248905,2e lijns (Doorgezette incidenten),MF__pas registreren
1248908,2e lijns (Doorgezette incidenten),tokencode gevraagd.
1248909,2e lijns (Doorgezette incidenten),wire solutions__vraag over pakketkosten
